DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE
1,2,9E,20363,9E,N8688C,3280,11953,1195302,GNV,10397,1039707,ATL,601,0,0600-0659,722,0,0,0,300
1,2,9E,20363,9E,N348PQ,3281,13487,1348702,MSP,11193,1119302,CVG,1359,0,1400-1459,1633,0,0,0,596
1,2,9E,20363,9E,N8896A,3282,11433,1143302,DTW,11193,1119302,CVG,1215,0,1200-1259,1329,0,0,0,229
1,2,9E,20363,9E,N8886A,3283,15249,1524906,TLH,10397,1039707,ATL,1521,0,1500-1559,1625,0,0,0,223
1,2,9E,20363,9E,N8974C,3284,10397,1039707,ATL,11778,1177801,FSM,1847,0,1900-1959,1940,0,0,0,579
1,2,9E,20363,9E,N927EV,3285,11267,1126702,DAY,13487,1348702,MSP,853,0,0900-0959,953,0,0,0,574
1,2,9E,20363,9E,N915XJ,3286,12448,1244807,JAN,10397,1039707,ATL,1553,0,1500-1559,1832,0,0,0,341
1,2,9E,20363,9E,N295PQ,3287,12953,1295304,LGA,11193,1119302,CVG,1551,0,1500-1559,1824,0,0,0,585
1,2,9E,20363,9E,N337PQ,3288,12451,1245102,JAX,12953,1295304,LGA,1037,0,1000-1059,1239,0,0,0,833
1,2,9E,20363,9E,N311PQ,3289,10397,1039707,ATL,10685,1068502,BMI,1245,0,1200-1259,1318,0,0,0,533
1,2,9E,20363,9E,N311PQ,3289,10685,1068502,BMI,10397,1039707,ATL,1410,0,1400-1459,1700,0,0,0,533
1,2,9E,20363,9E,N931XJ,3290,10874,1087402,CAK,10397,1039707,ATL,557,0,0600-0659,737,0,0,0,528
1,2,9E,20363,9E,N800AY,3291,11433,1143302,DTW,11267,1126702,DAY,1552,0,1500-1559,1738,1,0,0,166
1,2,9E,20363,9E,N927EV,3292,13487,1348702,MSP,11267,1126702,DAY,2029,0,2000-2059,2259,0,0,0,574
1,2,9E,20363,9E,N600LR,3293,14100,1410005,PHL,11433,1143302,DTW,1312,0,1300-1359,1454,0,0,0,453
1,2,9E,20363,9E,N840AY,3294,12478,1247805,JFK,14524,1452401,RIC,1450,0,1400-1459,1637,0,0,0,288
1,2,9E,20363,9E,N232PQ,3295,11433,1143302,DTW,11618,1161802,EWR,1353,1,1200-1259,1521,1,0,0,488
1,2,9E,20363,9E,N8970D,3296,10208,1020803,AGS,10397,1039707,ATL,1148,0,1100-1159,1236,0,0,0,143
1,2,9E,20363,9E,N8970D,3296,10397,1039707,ATL,10208,1020803,AGS,1020,0,1000-1059,1111,0,0,0,143
1,2,9E,20363,9E,N304PQ,3297,11433,1143302,DTW,11193,1119302,CVG,817,0,0800-0859,932,0,0,0,229
1,2,9E,20363,9E,N931XJ,3298,12992,1299206,LIT,10397,1039707,ATL,1523,0,1500-1559,1748,0,0,0,453
1,2,9E,20363,9E,N902XJ,3299,12339,1233904,IND,13487,1348702,MSP,1111,0,1100-1159,1157,0,0,0,503
1,2,9E,20363,9E,N349PQ,3300,10397,1039707,ATL,13795,1379502,OAJ,2216,0,2200-2259,16,1,0,0,399
1,2,9E,20363,9E,N8928A,3301,10397,1039707,ATL,11953,1195302,GNV,1554,0,1600-1659,1713,0,0,0,300
1,2,9E,20363,9E,N8928A,3301,11953,1195302,GNV,10397,1039707,ATL,1740,0,1700-1759,1903,0,0,0,300
1,2,9E,20363,9E,N371CA,3302,10397,1039707,ATL,11624,1162402,EYW,1101,0,1100-1159,1300,0,0,0,646
1,2,9E,20363,9E,N371CA,3302,11624,1162402,EYW,10397,1039707,ATL,1332,0,1300-1359,1532,0,0,0,646
1,2,9E,20363,9E,N8836A,3303,13487,1348702,MSP,11203,1120302,CWA,1349,0,1300-1359,1442,0,0,0,175
1,2,9E,20363,9E,N918XJ,3304,10868,1086803,CAE,10397,1039707,ATL,807,0,0800-0859,914,0,0,0,192
1,2,9E,20363,9E,N8896A,3305,11203,1120302,CWA,11433,1143302,DTW,834,0,0800-0859,1111,0,0,0,363
1,2,9E,20363,9E,N8908D,3306,10208,1020803,AGS,10397,1039707,ATL,1637,0,1600-1659,1728,0,0,0,143
1,2,9E,20363,9E,N8908D,3306,10397,1039707,ATL,10208,1020803,AGS,1516,0,1500-1559,1605,0,0,0,143
1,2,9E,20363,9E,N602LR,3307,10397,1039707,ATL,10868,1086803,CAE,1242,0,1200-1259,1338,0,0,0,192
1,2,9E,20363,9E,N8908D,3308,10397,1039707,ATL,13277,1327702,MGM,1957,0,2000-2059,1950,0,0,0,147
1,2,9E,20363,9E,N181PQ,3309,15323,1532305,TRI,10397,1039707,ATL,1136,0,1100-1159,1252,0,0,0,227
1,2,9E,20363,9E,N301PQ,3310,10721,1072102,BOS,10693,1069302,BNA,1739,0,1700-1759,1951,0,0,0,942
1,2,9E,20363,9E,N131EV,3311,10397,1039707,ATL,13029,1302902,LNK,2111,0,2100-2159,2246,0,0,0,841
1,2,9E,20363,9E,N923XJ,3312,10397,1039707,ATL,10208,1020803,AGS,2230,0,2200-2259,2325,0,0,0,143
1,2,9E,20363,9E,N8694A,3313,13277,1327702,MGM,10397,1039707,ATL,653,0,0700-0759,853,0,0,0,147
1,2,9E,20363,9E,N819AY,3314,13230,1323002,MDT,11433,1143302,DTW,1305,0,1300-1359,1442,0,0,0,371
1,2,9E,20363,9E,N676CA,3315,13342,1334207,MKE,13487,1348702,MSP,1518,0,1500-1559,1636,0,0,0,297
1,2,9E,20363,9E,N917XJ,3316,11433,1143302,DTW,15380,1538005,TVC,1542,0,1500-1559,1715,0,0,0,207
1,2,9E,20363,9E,N917XJ,3316,15380,1538005,TVC,11433,1143302,DTW,1755,0,1700-1759,1908,0,0,0,207
1,2,9E,20363,9E,N832AY,3317,11778,1177801,FSM,10397,1039707,ATL,1550,0,1500-1559,1859,1,0,0,579
1,2,9E,20363,9E,N8928A,3318,10397,1039707,ATL,14108,1410803,PIA,2009,0,2000-2059,2049,0,0,0,565
1,2,9E,20363,9E,N135EV,3320,10397,1039707,ATL,10599,1059904,BHM,854,0,0800-0859,854,0,0,0,134
1,2,9E,20363,9E,N147PQ,3320,10599,1059904,BHM,10397,1039707,ATL,931,0,0900-0959,1134,0,0,0,134
1,2,9E,20363,9E,N8839E,3321,11433,1143302,DTW,10434,1043405,AVP,1234,0,1200-1259,1345,0,0,0,399
1,2,9E,20363,9E,N932XJ,3322,11433,1143302,DTW,12884,1288403,LAN,2036,0,2000-2059,2233,1,0,0,74
1,2,9E,20363,9E,N920XJ,3323,10397,1039707,ATL,15412,1541205,TYS,2210,0,2200-2259,2252,0,0,0,152
1,2,9E,20363,9E,N294PQ,3324,12953,1295304,LGA,14122,1412202,PIT,1755,0,1800-1859,1927,0,0,0,335
1,2,9E,20363,9E,N341PQ,3325,12953,1295304,LGA,12451,1245102,JAX,1627,0,1600-1659,1913,0,0,0,833
1,2,9E,20363,9E,N200PQ,3326,12448,1244807,JAN,10397,1039707,ATL,727,0,0700-0759,1003,0,0,0,341
1,2,9E,20363,9E,N835AY,3327,10397,1039707,ATL,14108,1410803,PIA,1206,0,1200-1259,1246,0,0,0,565
1,2,9E,20363,9E,N835AY,3327,14108,1410803,PIA,10397,1039707,ATL,1353,0,1400-1459,1651,0,0,0,565
1,2,9E,20363,9E,N905XJ,3328,11193,1119302,CVG,13487,1348702,MSP,817,1,0700-0759,900,1,0,0,596
1,2,9E,20363,9E,N8946A,3329,10397,1039707,ATL,12007,1200704,GTR,1617,0,1600-1659,1621,0,0,0,241
1,2,9E,20363,9E,N8908D,3330,12007,1200704,GTR,10397,1039707,ATL,636,0,0600-0659,850,0,0,0,241
1,2,9E,20363,9E,N936XJ,3331,14730,1473003,SDF,13487,1348702,MSP,1729,0,1700-1759,1829,0,0,0,604
1,2,9E,20363,9E,N605LR,3332,10397,1039707,ATL,10868,1086803,CAE,907,0,0900-0959,958,0,0,0,192
1,2,9E,20363,9E,N605LR,3332,10868,1086803,CAE,10397,1039707,ATL,1049,0,1000-1059,1150,0,0,0,192
1,2,9E,20363,9E,N301PQ,3333,10693,1069302,BNA,10721,1072102,BOS,2034,0,2000-2059,2343,0,0,0,942
1,2,9E,20363,9E,N907XJ,3334,14683,1468305,SAT,13487,1348702,MSP,744,0,0700-0759,1010,0,0,0,1097
1,2,9E,20363,9E,N904XJ,3335,12951,1295106,LFT,10397,1039707,ATL,553,0,0600-0659,827,0,0,0,503
1,2,9E,20363,9E,N8694A,3337,10397,1039707,ATL,15412,1541205,TYS,1742,0,1700-1759,1832,0,0,0,152
1,2,9E,20363,9E,N820AY,3338,10397,1039707,ATL,13277,1327702,MGM,1021,0,1000-1059,1014,0,0,0,147
1,2,9E,20363,9E,N833AY,3338,13277,1327702,MGM,10397,1039707,ATL,1411,1,1100-1159,1558,1,0,0,147
1,2,9E,20363,9E,N902XJ,3339,13485,1348502,MSN,13487,1348702,MSP,1518,0,1500-1559,1626,0,0,0,228
1,2,9E,20363,9E,N902XJ,3339,13487,1348702,MSP,13485,1348502,MSN,1325,0,1300-1359,1418,0,0,0,228
1,2,9E,20363,9E,N324PQ,3340,11433,1143302,DTW,12478,1247805,JFK,2006,0,2000-2059,2224,1,0,0,509
1,2,9E,20363,9E,N903XJ,3341,11423,1142307,DSM,13487,1348702,MSP,1715,0,1700-1759,1816,0,0,0,232
1,2,9E,20363,9E,N903XJ,3341,13487,1348702,MSP,11423,1142307,DSM,1514,0,1500-1559,1617,0,0,0,232
1,2,9E,20363,9E,N8775A,3342,11433,1143302,DTW,11612,1161206,EVV,1530,0,1500-1559,1629,0,0,0,363
1,2,9E,20363,9E,N176PQ,3343,10397,1039707,ATL,13230,1323002,MDT,936,0,0900-0959,1116,0,0,0,620
1,2,9E,20363,9E,N176PQ,3343,13230,1323002,MDT,10397,1039707,ATL,1156,0,1200-1259,1359,0,0,0,620
1,2,9E,20363,9E,N905XJ,3344,13487,1348702,MSP,13871,1387102,OMA,939,1,0800-0859,1043,0,0,0,282
1,2,9E,20363,9E,N8839E,3346,11612,1161206,EVV,11433,1143302,DTW,824,0,0800-0859,1035,0,0,0,363
1,2,9E,20363,9E,N8936A,3347,11193,1119302,CVG,11433,1143302,DTW,1014,0,1000-1059,1116,0,0,0,229
1,2,9E,20363,9E,N606LR,3348,10397,1039707,ATL,10431,1043105,AVL,912,0,0900-0959,1005,0,0,0,164
1,2,9E,20363,9E,N153PQ,3349,10208,1020803,AGS,10397,1039707,ATL,601,0,0600-0659,704,0,0,0,143
1,2,9E,20363,9E,N311PQ,3350,10135,1013505,ABE,10397,1039707,ATL,557,0,0600-0659,819,0,0,0,692
1,2,9E,20363,9E,N8877A,3351,10397,1039707,ATL,14814,1481402,SHV,1621,0,1600-1659,1706,0,0,0,551
1,2,9E,20363,9E,N925XJ,3353,11278,1127805,DCA,12478,1247805,JFK,1651,0,1700-1759,1831,0,0,0,213
1,2,9E,20363,9E,N981EV,3354,10821,1082106,BWI,12478,1247805,JFK,1835,0,1800-1859,1952,0,0,0,184
1,2,9E,20363,9E,N833AY,3355,10397,1039707,ATL,12323,1232305,ILM,1701,1,1600-1659,1814,0,0,0,377
1,2,9E,20363,9E,N833AY,3355,12323,1232305,ILM,10397,1039707,ATL,1840,0,1800-1859,2010,0,0,0,377
1,2,9E,20363,9E,N835AY,3356,15412,1541205,TYS,10397,1039707,ATL,830,0,0800-0859,940,0,0,0,152
1,2,9E,20363,9E,N832AY,3357,10397,1039707,ATL,11617,1161708,EWN,1952,0,1900-1959,2115,0,0,0,433
1,2,9E,20363,9E,N934XJ,3358,12451,1245102,JAX,12953,1295304,LGA,1454,0,1500-1559,1700,0,0,0,833
1,2,9E,20363,9E,N905XJ,3359,13487,1348702,MSP,12003,1200305,GTF,1936,0,1900-1959,2049,0,0,0,887
1,2,9E,20363,9E,N601LR,3360,11203,1120302,CWA,13487,1348702,MSP,651,0,0600-0659,743,0,0,0,175
1,2,9E,20363,9E,N336PQ,3361,13487,1348702,MSP,14492,1449202,RDU,1116,0,1100-1159,1445,0,0,0,980
1,2,9E,20363,9E,N833AY,3362,10397,1039707,ATL,11953,1195302,GNV,2219,0,2200-2259,2325,0,0,0,300
1,2,9E,20363,9E,N398CA,3363,10397,1039707,ATL,12945,1294503,LEX,1451,0,1400-1459,1601,0,0,0,304
1,2,9E,20363,9E,N398CA,3363,12945,1294503,LEX,10397,1039707,ATL,1644,0,1600-1659,1817,0,0,0,304
1,2,9E,20363,9E,N8891A,3364,11433,1143302,DTW,15412,1541205,TYS,843,0,0800-0859,1017,0,0,0,443
1,2,9E,20363,9E,N302PQ,3365,10397,1039707,ATL,10135,1013505,ABE,1743,0,1700-1759,1931,0,0,0,692
1,2,9E,20363,9E,N820AY,3366,14108,1410803,PIA,10397,1039707,ATL,549,0,0001-0559,842,0,0,0,565
1,2,9E,20363,9E,N923XJ,3367,10397,1039707,ATL,14730,1473003,SDF,1047,0,1000-1059,1219,0,0,0,321
1,2,9E,20363,9E,N923XJ,3367,14730,1473003,SDF,10397,1039707,ATL,1253,0,1200-1259,1415,0,0,0,321
1,2,9E,20363,9E,N348PQ,3368,11042,1104205,CLE,13487,1348702,MSP,1051,0,1100-1159,1205,0,0,0,622
1,2,9E,20363,9E,N131EV,3369,10397,1039707,ATL,13577,1357702,MYR,1030,0,1000-1059,1132,0,0,0,317
1,2,9E,20363,9E,N176PQ,3370,11537,1153705,ELM,10397,1039707,ATL,605,0,0600-0659,826,0,0,0,717
1,2,9E,20363,9E,N981EV,3371,12478,1247805,JFK,14321,1432105,PWM,2153,0,2200-2259,2259,0,0,0,273
1,2,9E,20363,9E,N137EV,3372,14683,1468305,SAT,11433,1143302,DTW,1450,0,1500-1559,1830,0,0,0,1214
1,2,9E,20363,9E,N924XJ,3373,10397,1039707,ATL,10868,1086803,CAE,1617,0,1600-1659,1719,0,0,0,192
1,2,9E,20363,9E,N301PQ,3374,13487,1348702,MSP,11193,1119302,CVG,1100,1,1000-1059,1339,1,0,0,596
1,2,9E,20363,9E,N686BR,3375,11433,1143302,DTW,15096,1509602,SYR,832,0,0800-0859,949,0,0,0,374
1,2,9E,20363,9E,N232PQ,3376,11423,1142307,DSM,11433,1143302,DTW,822,0,0800-0859,1111,0,0,0,534
1,2,9E,20363,9E,N8688C,3377,10397,1039707,ATL,11150,1115005,CSG,1354,0,1400-1459,1437,0,0,0,83
1,2,9E,20363,9E,N8970D,3378,11617,1161708,EWN,10397,1039707,ATL,649,0,0700-0759,833,0,0,0,433
1,2,9E,20363,9E,N8974C,3379,10397,1039707,ATL,10431,1043105,AVL,1215,0,1200-1259,1301,0,0,0,164
1,2,9E,20363,9E,N398CA,3380,14098,1409803,PHF,10397,1039707,ATL,550,0,0600-0659,757,0,0,0,508
1,2,9E,20363,9E,N8918B,3381,11433,1143302,DTW,11537,1153705,ELM,822,0,0800-0859,932,0,0,0,332
1,2,9E,20363,9E,N8683B,3382,10397,1039707,ATL,14814,1481402,SHV,949,0,0900-0959,1042,0,0,0,551
1,2,9E,20363,9E,N8683B,3382,14814,1481402,SHV,10397,1039707,ATL,1118,0,1100-1159,1353,0,0,0,551
1,2,9E,20363,9E,N8928A,3383,11150,1115005,CSG,10397,1039707,ATL,1202,0,1200-1259,1250,0,0,0,83
1,2,9E,20363,9E,N912XJ,3384,10397,1039707,ATL,12217,1221702,HSV,1024,0,1000-1059,1015,0,0,0,151
1,2,9E,20363,9E,N166PQ,3385,11423,1142307,DSM,13487,1348702,MSP,850,0,0900-0959,958,0,0,0,232
1,2,9E,20363,9E,N315PQ,3386,13485,1348502,MSN,11433,1143302,DTW,837,0,0800-0859,1105,0,0,0,311
1,2,9E,20363,9E,N607LR,3387,10397,1039707,ATL,15370,1537002,TUL,829,0,0800-0859,931,0,0,0,674
1,2,9E,20363,9E,N607LR,3387,15370,1537002,TUL,10397,1039707,ATL,1025,0,1000-1059,1306,0,0,0,674
1,2,9E,20363,9E,N8936A,3388,11433,1143302,DTW,11977,1197705,GRB,2023,0,2000-2059,2149,1,0,0,287
1,2,9E,20363,9E,N601LR,3389,10529,1052906,BDL,13487,1348702,MSP,1613,0,1600-1659,1829,0,0,0,1050
1,2,9E,20363,9E,N906XJ,3390,11298,1129806,DFW,11433,1143302,DTW,1124,0,1100-1159,1438,0,0,0,986
1,2,9E,20363,9E,N924XJ,3391,10397,1039707,ATL,12323,1232305,ILM,1023,0,1000-1059,1136,0,0,0,377
1,2,9E,20363,9E,N924XJ,3391,12323,1232305,ILM,10397,1039707,ATL,1222,0,1200-1259,1350,0,0,0,377
1,2,9E,20363,9E,N927XJ,3392,14524,1452401,RIC,12953,1295304,LGA,1539,0,1500-1559,1656,0,0,0,292
1,2,9E,20363,9E,N8943A,3393,14524,1452401,RIC,12478,1247805,JFK,717,0,0700-0759,828,0,0,0,288
1,2,9E,20363,9E,N308PQ,3394,14457,1445702,RAP,13487,1348702,MSP,957,1,0700-0759,1228,1,0,0,489
1,2,9E,20363,9E,N8918B,3395,11537,1153705,ELM,11433,1143302,DTW,1252,0,1300-1359,1427,0,0,0,332
1,2,9E,20363,9E,N8877A,3396,10397,1039707,ATL,15412,1541205,TYS,1203,0,1200-1259,1252,0,0,0,152
1,2,9E,20363,9E,N8877A,3396,15412,1541205,TYS,10397,1039707,ATL,1330,0,1300-1359,1422,0,0,0,152
1,2,9E,20363,9E,N297PQ,3397,14122,1412202,PIT,10721,1072102,BOS,919,0,0900-0959,1045,0,0,0,496
1,2,9E,20363,9E,N8886A,3398,10397,1039707,ATL,15249,1524906,TLH,937,0,0900-0959,1036,0,0,0,223
1,2,9E,20363,9E,N8943A,3399,11193,1119302,CVG,11433,1143302,DTW,1826,1,1800-1859,1935,1,0,0,229
1,2,9E,20363,9E,N8908D,3400,10397,1039707,ATL,11146,1114606,CRW,1054,0,1000-1059,1203,0,0,0,363
1,2,9E,20363,9E,N8908D,3400,11146,1114606,CRW,10397,1039707,ATL,1257,0,1300-1359,1417,0,0,0,363
1,2,9E,20363,9E,N936XJ,3401,10397,1039707,ATL,14730,1473003,SDF,1332,0,1300-1359,1437,0,0,0,321
1,2,9E,20363,9E,N582CA,3402,13487,1348702,MSP,14524,1452401,RIC,1744,0,1700-1759,2104,0,0,0,970
1,2,9E,20363,9E,N937XJ,3403,10397,1039707,ATL,15323,1532305,TRI,1622,0,1600-1659,1719,0,0,0,227
1,2,9E,20363,9E,N931XJ,3404,10397,1039707,ATL,12992,1299206,LIT,955,0,0900-0959,1032,0,0,0,453
1,2,9E,20363,9E,N910XJ,3405,11423,1142307,DSM,13487,1348702,MSP,1336,1,1300-1359,1430,0,0,0,232
1,2,9E,20363,9E,N910XJ,3405,13487,1348702,MSP,11423,1142307,DSM,1110,0,1100-1159,1252,0,0,0,232
1,2,9E,20363,9E,N935XJ,3406,13487,1348702,MSP,11986,1198603,GRR,1252,0,1200-1259,1517,0,0,0,408
1,2,9E,20363,9E,N932XJ,3407,11433,1143302,DTW,12339,1233904,IND,816,0,0800-0859,928,0,0,0,231
1,2,9E,20363,9E,N676CA,3408,13487,1348702,MSP,11193,1119302,CVG,1934,0,1900-1959,2215,0,0,0,596
1,2,9E,20363,9E,N918XJ,3409,10397,1039707,ATL,11973,1197302,GPT,1337,0,1300-1359,1357,0,0,0,352
1,2,9E,20363,9E,N918XJ,3409,11973,1197302,GPT,10397,1039707,ATL,1432,0,1400-1459,1656,0,0,0,352
1,2,9E,20363,9E,N917XJ,3410,11433,1143302,DTW,15380,1538005,TVC,2037,0,2000-2059,2301,1,0,0,207
1,2,9E,20363,9E,N920XJ,3411,10397,1039707,ATL,11995,1199502,GSO,1011,0,1000-1059,1112,0,0,0,306
1,2,9E,20363,9E,N197PQ,3412,10397,1039707,ATL,10980,1098002,CHA,855,0,0900-0959,936,0,0,0,106
1,2,9E,20363,9E,N197PQ,3412,10980,1098002,CHA,10397,1039707,ATL,1013,0,1000-1059,1059,0,0,0,106
1,2,9E,20363,9E,N905XJ,3413,13871,1387102,OMA,13487,1348702,MSP,1456,0,1500-1559,1553,0,0,0,282
1,2,9E,20363,9E,N308PQ,3414,12264,1226402,IAD,13487,1348702,MSP,1659,0,1700-1759,1854,0,0,0,908
1,2,9E,20363,9E,N308PQ,3414,13487,1348702,MSP,12264,1226402,IAD,1308,1,1200-1259,1612,0,0,0,908
1,2,9E,20363,9E,N313PQ,3415,14492,1449202,RDU,13487,1348702,MSP,556,0,0600-0659,748,0,0,0,980
1,2,9E,20363,9E,N304PQ,3416,12339,1233904,IND,11433,1143302,DTW,612,0,0600-0659,714,0,0,0,231
1,2,9E,20363,9E,N8970D,3417,10397,1039707,ATL,15249,1524906,TLH,1341,0,1300-1359,1445,0,0,0,223
1,2,9E,20363,9E,N316PQ,3418,10397,1039707,ATL,15323,1532305,TRI,2226,0,2200-2259,2325,0,0,0,227
1,2,9E,20363,9E,N921XJ,3419,10397,1039707,ATL,10685,1068502,BMI,1737,0,1700-1759,1814,0,0,0,533
1,2,9E,20363,9E,N303PQ,3420,14685,1468502,SAV,12478,1247805,JFK,1207,0,1200-1259,1410,0,0,0,718
1,2,9E,20363,9E,N147PQ,3421,10397,1039707,ATL,12448,1244807,JAN,2131,0,2100-2159,2148,0,0,0,341
1,2,9E,20363,9E,N932XJ,3422,12339,1233904,IND,12953,1295304,LGA,1052,0,1000-1059,1235,0,0,0,660
1,2,9E,20363,9E,N935XJ,3423,11986,1198603,GRR,11433,1143302,DTW,1738,0,1700-1759,1904,1,0,0,120
1,2,9E,20363,9E,N8976E,3424,12953,1295304,LGA,14576,1457606,ROC,1119,0,1100-1159,1227,0,0,0,254
1,2,9E,20363,9E,N166PQ,3425,12264,1226402,IAD,13487,1348702,MSP,1450,1,1400-1459,1645,1,0,0,908
1,2,9E,20363,9E,N166PQ,3425,13487,1348702,MSP,12264,1226402,IAD,1058,1,1000-1059,1412,1,0,0,908
1,2,9E,20363,9E,N335PQ,3426,11433,1143302,DTW,12339,1233904,IND,1542,0,1500-1559,1705,0,0,0,231
1,2,9E,20363,9E,N320PQ,3427,10785,1078502,BTV,11433,1143302,DTW,524,0,0001-0559,733,0,0,0,537
1,2,9E,20363,9E,N310PQ,3428,11042,1104205,CLE,12478,1247805,JFK,1556,0,1600-1659,1725,0,0,0,425
1,2,9E,20363,9E,N186PQ,3429,14492,1449202,RDU,12953,1295304,LGA,1459,0,1500-1559,1630,0,0,0,431
1,2,9E,20363,9E,N8918B,3431,12884,1288403,LAN,11433,1143302,DTW,617,0,0600-0659,705,0,0,0,74
1,2,9E,20363,9E,N292PQ,3432,14492,1449202,RDU,15304,1530402,TPA,1825,0,1800-1859,2020,0,0,0,587
1,2,9E,20363,9E,N228PQ,3433,11193,1119302,CVG,12953,1295304,LGA,1556,0,1600-1659,1730,0,0,0,585
1,2,9E,20363,9E,N304PQ,3434,11193,1119302,CVG,13487,1348702,MSP,1325,0,1300-1359,1417,0,0,0,596
1,2,9E,20363,9E,N903XJ,3435,11298,1129806,DFW,13487,1348702,MSP,1122,1,1100-1159,1318,0,0,0,852
1,2,9E,20363,9E,N307PQ,3436,10397,1039707,ATL,13795,1379502,OAJ,1225,0,1200-1259,1339,0,0,0,399
1,2,9E,20363,9E,N307PQ,3436,13795,1379502,OAJ,10397,1039707,ATL,1430,0,1400-1459,1559,0,0,0,399
1,2,9E,20363,9E,N153PQ,3437,10397,1039707,ATL,15249,1524906,TLH,1615,0,1600-1659,1711,0,0,0,223
1,2,9E,20363,9E,N917XJ,3438,12953,1295304,LGA,11193,1119302,CVG,958,1,0900-0959,1210,0,0,0,585
1,2,9E,20363,9E,N324PQ,3439,11042,1104205,CLE,11433,1143302,DTW,1748,0,1700-1759,1850,0,0,0,95
1,2,9E,20363,9E,N324PQ,3439,11433,1143302,DTW,11042,1104205,CLE,1545,0,1500-1559,1719,1,0,0,95
1,2,9E,20363,9E,N8986B,3440,10185,1018502,AEX,10397,1039707,ATL,1732,0,1700-1759,2006,0,0,0,500
1,2,9E,20363,9E,N8688C,3442,10185,1018502,AEX,10397,1039707,ATL,1030,0,1000-1059,1258,0,0,0,500
1,2,9E,20363,9E,N8688C,3442,10397,1039707,ATL,10185,1018502,AEX,859,0,0900-0959,1004,0,0,0,500
1,2,9E,20363,9E,N293PQ,5355,12478,1247805,JFK,10792,1079206,BUF,1117,0,1100-1159,1241,0,0,0,301
1,2,9E,20363,9E,N926XJ,5358,14492,1449202,RDU,12478,1247805,JFK,1045,0,1000-1059,1206,0,0,0,427
1,2,9E,20363,9E,N8694A,5359,10397,1039707,ATL,10990,1099005,CHO,1201,0,1200-1259,1320,0,0,0,457
1,2,9E,20363,9E,N8694A,5359,10990,1099005,CHO,10397,1039707,ATL,1415,0,1400-1459,1554,0,0,0,457
1,2,9E,20363,9E,N916XJ,5362,10994,1099402,CHS,12953,1295304,LGA,1656,0,1700-1759,1831,0,0,0,641
1,2,9E,20363,9E,N981EV,5369,12478,1247805,JFK,10821,1082106,BWI,1609,0,1600-1659,1725,0,0,0,184
1,2,9E,20363,9E,N314PQ,5370,12478,1247805,JFK,10785,1078502,BTV,2110,0,2100-2159,2235,0,0,0,266
1,2,9E,20363,9E,N136EV,5373,12478,1247805,JFK,11193,1119302,CVG,1810,0,1800-1859,2024,0,0,0,589
1,2,9E,20363,9E,N329PQ,5374,10397,1039707,ATL,11423,1142307,DSM,940,0,0900-0959,1042,0,0,0,743
1,2,9E,20363,9E,N329PQ,5374,11423,1142307,DSM,10397,1039707,ATL,1150,0,1100-1159,1444,0,0,0,743
1,2,9E,20363,9E,N298PQ,5389,12206,1220605,HRL,13487,1348702,MSP,1605,1,1500-1559,1851,0,0,0,1310
